Reported Year,Number Dead,Minimum Estimated Number of Missing,Total Dead and Missing,Number of Survivors,Number of Females,Number of Males,Number of Children
2015,3,6,3,14,1,1,1
2015,3,6,3,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,3,6,3,14,1,1,1
2015,3,6,3,14,1,1,1
2015,6,6,6,14,1,1,1
2015,1,13,13,14,1,12,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,4,6,4,14,3,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,3,6,3,14,1,1,1
2015,7,6,7,14,1,1,1
2015,2,6,2,14,1,1,1
2015,4,6,4,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,126,6,126,14,1,1,1
2015,1,1,1,11,1,1,1
2015,2,6,2,14,1,2,1
2015,5,6,5,14,1,2,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,2,6,2,185,1,1,1
2015,20,6,20,21,1,1,11
2015,2,6,2,14,1,1,1
2015,11,6,11,14,1,1,1
2015,23,6,23,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,6,6,6,14,1,1,1
2015,1,6,1,14,1,1,1
2015,3,6,3,14,1,1,1
2015,1,6,1,14,1,1,1
2015,36,6,36,14,1,1,1
2015,1,6,1,14,1,1,1
2015,12,6,12,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,13,1,14,15,2,4,7
2015,11,6,11,7,1,1,1
2015,2,6,2,69,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,509,1,1,1
2015,1,6,1,14,1,1,1
2015,2,6,2,14,2,1,1
2015,1,6,1,14,1,1,1
2015,2,6,2,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,4,6,4,14,1,2,1
2015,2,6,2,14,1,2,1
2015,1,6,1,14,1,1,1
2015,5,6,5,14,1,1,1
2015,9,2,11,14,2,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,8,6,8,14,1,1,1
2015,1,2,3,14,1,2,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,3,6,3,14,1,1,1
2015,1,6,1,14,1,1,1
2015,8,7,15,14,1,1,1
2015,3,6,3,14,1,1,1
2015,3,6,3,14,1,1,1
2015,3,6,3,14,1,1,1
2015,1,6,1,14,1,1,1
2015,3,6,3,14,1,1,1
2015,6,6,6,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,14,1,15,14,1,1,7
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,4,2,6,14,1,1,1
2015,2,6,2,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,2,6,2,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,15,6,15,14,1,1,1
2015,1,6,1,14,1,1,1
2015,4,6,4,14,1,1,1
2015,1,6,1,14,1,1,1
2015,5,6,5,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,3,2,5,14,1,2,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,2,6,2,14,1,2,1
2015,3,6,3,1,1,2,1
